Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,323.670013,324.540009,319.320007,324.059998,323.040131,559200
2020-01-07,324.540009,330.739990,322.899994,328.029999,326.997620,515400
2020-01-08,326.799988,334.059998,326.799988,331.010010,329.968262,428200
2020-01-09,334.000000,339.160004,332.570007,338.369995,337.305084,702000
2020-01-10,339.359985,342.309998,338.220001,338.910004,337.843384,570000
2020-01-13,341.750000,350.980011,341.750000,349.529999,348.429962,832100
2020-01-14,349.519989,351.329987,346.059998,348.910004,347.811920,804600
2020-01-15,350.000000,351.410004,345.480011,345.679993,344.592072,631100
2020-01-16,345.299988,350.510010,341.440002,350.130005,349.028076,651000
2020-01-17,351.940002,352.000000,345.429993,349.820007,348.719055,782400
2020-01-21,348.390015,348.390015,339.179993,340.809998,339.737396,990200
2020-01-22,342.510010,344.589996,339.839996,340.149994,339.079468,503000
2020-01-23,335.420013,339.000000,332.149994,334.940002,333.885895,860000
2020-01-24,336.239990,339.170013,327.040009,328.149994,327.117249,997200
2020-01-27,317.850006,324.510010,317.480011,322.109985,321.096252,1152100
2020-01-28,324.570007,328.679993,322.670013,327.890015,326.858093,672800
2020-01-29,331.459991,333.600006,329.070007,333.350006,332.300903,612700
2020-01-30,328.899994,332.470001,327.149994,328.000000,326.967712,519700
2020-01-31,326.730011,326.730011,319.720001,320.760010,319.750519,803400
2020-02-03,323.980011,332.369995,323.269989,329.500000,328.463013,930700
2020-02-04,338.880005,346.220001,336.019989,342.730011,341.651367,1086200
2020-02-05,347.179993,347.950012,335.109985,337.850006,336.786743,651700
2020-02-06,340.190002,347.670013,336.089996,346.880005,345.788300,768700
2020-02-07,346.750000,347.290009,337.269989,339.750000,338.680756,990700
2020-02-10,341.070007,355.480011,340.320007,352.500000,351.390625,976600
2020-02-11,356.470001,358.250000,350.059998,350.970001,349.865448,503700
2020-02-12,352.720001,353.510010,347.140015,348.309998,347.213806,631200
2020-02-13,347.670013,354.859985,345.459991,354.329987,353.214844,651100
2020-02-14,358.700012,358.700012,351.549988,354.640015,353.523895,443700
2020-02-18,353.010010,356.140015,351.260010,352.739990,351.629852,535000
2020-02-19,354.799988,361.000000,354.179993,356.779999,355.657135,593600
2020-02-20,353.579987,356.739990,343.140015,349.829987,348.729004,785400
2020-02-21,350.000000,350.459991,343.790009,344.989990,343.904236,400600
2020-02-24,332.820007,339.519989,328.260010,334.980011,333.925781,628700
2020-02-25,341.059998,348.899994,335.019989,337.910004,336.846527,710100
2020-02-26,347.899994,351.700012,340.000000,345.850006,344.761566,902200
2020-02-27,332.209991,336.239990,315.410004,321.929993,320.916809,1296200
2020-02-28,313.510010,324.609985,311.190002,318.709991,317.706940,1161400
2020-03-02,319.329987,321.429993,306.760010,310.059998,309.084167,1417600
2020-03-03,313.079987,322.980011,310.079987,319.470001,318.464569,1517400
2020-03-04,322.010010,338.899994,322.010010,336.700012,335.640350,828800
2020-03-05,333.000000,348.459991,332.500000,340.940002,339.867004,1172900
2020-03-06,329.279999,337.980011,327.910004,336.209991,335.151886,1008300
2020-03-09,318.399994,327.399994,315.010010,321.250000,320.238953,934500
2020-03-10,328.489990,329.600006,319.130005,324.709991,323.688080,809100
2020-03-11,318.790009,335.839996,318.049988,324.100006,323.080017,980600
2020-03-12,306.029999,313.619995,290.549988,297.619995,297.619995,1409400
2020-03-13,314.480011,320.000000,302.160004,319.899994,319.899994,1111600
2020-03-16,298.179993,306.660004,283.049988,283.350006,283.350006,1580800
2020-03-17,289.029999,302.000000,281.489990,295.769989,295.769989,1051800
2020-03-18,282.130005,289.170013,265.859985,270.429993,270.429993,1373300
2020-03-19,270.690002,300.049988,270.690002,291.179993,291.179993,1236900
2020-03-20,300.989990,313.420013,282.940002,285.059998,285.059998,1304100
2020-03-23,291.720001,306.839996,285.239990,298.799988,298.799988,1030000
2020-03-24,309.209991,328.000000,303.029999,323.829987,323.829987,1077400
2020-03-25,323.380005,326.709991,307.000000,307.899994,307.899994,992100
2020-03-26,313.739990,323.640015,312.070007,317.940002,317.940002,856000
2020-03-27,305.100006,308.000000,300.010010,301.350006,301.350006,695200
2020-03-30,301.359985,311.010010,300.929993,306.910004,306.910004,842200
2020-03-31,311.809998,321.489990,307.170013,320.959991,320.959991,912100
2020-04-01,311.769989,333.140015,310.010010,323.380005,323.380005,921400
2020-04-02,320.000000,331.589996,320.000000,331.119995,331.119995,512800
2020-04-03,326.209991,337.670013,324.040009,325.000000,325.000000,798000
2020-04-06,335.950012,338.619995,322.239990,337.600006,337.600006,711000
2020-04-07,340.109985,341.390015,326.049988,326.970001,326.970001,922500
2020-04-08,329.390015,331.149994,322.190002,325.320007,325.320007,579000
2020-04-09,327.570007,331.369995,321.000000,327.350006,327.350006,580300
2020-04-13,326.260010,339.859985,325.570007,338.540009,338.540009,784000
2020-04-14,347.480011,350.529999,340.420013,341.859985,341.859985,653900
2020-04-15,338.200012,350.769989,338.200012,349.820007,349.820007,361100
2020-04-16,351.100006,363.470001,350.119995,362.209991,362.209991,871100
2020-04-17,365.000000,367.510010,342.829987,348.640015,348.640015,772368
